I,Q
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
6.52341063768772e-15,-1
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-0.707106781186552,0.707106781186543
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
-0.707106781186541,-0.707106781186554
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
1,7.59528607725994e-15
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
